metro,price_to_income_index_2018,zhvi_2018,median_household_income_2018,price_to_income_index_2024,zhvi_2024,median_household_income_2024,StateName,index_change,index_change_pct,annual_index_slope,trend_r2,trend_pvalue
"Knoxville, TN",3.5194983016494836,183013.91168577314,52000.0,5.201339771567493,352221.86377538316,67717.52649207079,TN,1.6818414699180098,47.786398110485834,0.3288329394278581,0.9386465253993795,0.00032377102846207925
"Tampa, FL",3.872,216978.8966561669,56037.938185993524,5.292530578643345,386227.5653183281,72975.97237828927,FL,1.420530578643345,36.68725667983846,0.31554538575261964,0.8250979812525927,0.00464657368873108
"Miami, FL",3.498666666666667,285591.74882283725,81628.73918335668,4.672541437337085,496699.80870977324,106301.85208006333,FL,1.1738747706704178,33.55206089949746,0.24223972850321612,0.8787519471062144,0.001819134180557554
"Charlotte, NC",4.058666666666666,224627.78898778514,55345.21739186559,5.4084493226874075,389807.87181890995,72073.86971044375,NC,1.349782656020741,33.256800000511035,0.28920493372040296,0.8420488720211903,0.003576099865846332
"McAllen, TX",2.134396155586108,110988.60009047762,52000.0,2.8425230611516907,192488.63069786175,67717.52649207079,TX,0.7081269055655826,33.17692002547343,0.1431828511548099,0.9299762887369594,0.0004520364904066514
"Albuquerque, NM",3.7749216007743827,196295.9232402679,52000.0,5.006174650339486,339005.7645082973,67717.52649207079,NM,1.2312530495651033,32.61665220577099,0.2472164329330202,0.9128953534610462,0.0007852249975943753
"Phoenix, AZ",3.6106666666666665,271070.03477172594,75074.78806454744,4.764487507546261,465809.1874129491,97766.90287783829,AZ,1.1538208408795945,31.955894780638694,0.2612743975828157,0.7029241648855149,0.018443708637974128
"Atlanta, GA",3.536,231114.84942230512,65360.53433888719,4.654123633361931,396142.3307777043,85116.41760825954,GA,1.118123633361931,31.62114347743018,0.23999490315923921,0.8385831864701367,0.003780879955883772
"Orlando, FL",4.021333333333334,239258.85271947063,59497.393746552705,5.249528126787693,406739.1266468383,77481.0834084875,FL,1.2281947934543593,30.54197928019792,0.26403629437613535,0.8473365859130526,0.0032771852427867037
"North Port, FL",5.2136198320347376,271108.23126580636,52000.0,6.786421643107948,459559.687403525,67717.52649207079,FL,1.5728018110732105,30.16717485631068,0.40278022152191867,0.7273004632553346,0.014721469406827779
"Tucson, AZ",4.048646319806787,210529.6086299529,52000.0,5.236933057215857,354632.153039216,67717.52649207079,AZ,1.1882867374090695,29.350223347387335,0.2563092831346941,0.7982358435945853,0.006717093564570994
"Rochester, NY",2.934940882529195,152616.92589151816,52000.0,3.787021457812838,256447.7258954814,67717.52649207079,NY,0.8520805752836429,29.032290917879056,0.1591349751173482,0.9559170410099326,0.0001407726766061819
"Greensboro, NC",2.9601132514848962,153925.8890772146,52000.0,3.811555497484331,258109.11037689322,67717.52649207079,NC,0.8514422459994346,28.763840220380803,0.1681389450521708,0.919390425611762,0.0006453216614310379
"Indianapolis, IN",3.2830925935233837,170720.81486321596,52000.0,4.192854415057728,283929.72992906766,67717.52649207079,IN,0.9097618215343446,27.710513658038405,0.1914356582866839,0.8529224635495575,0.0029788064582403854
"New Haven, CT",4.309808971674289,224110.06652706303,52000.0,5.493545336767975,372009.30187797727,67717.52649207079,CT,1.1837363650936865,27.466098216270236,0.2284288545786985,0.9144207119906103,0.0007508583681811509
"Jacksonville, FL",4.218506663418122,219362.34649774234,52000.0,5.3743871925629625,363940.20709102834,67717.52649207079,FL,1.1558805291448406,27.400230019033973,0.26796149574607586,0.7753390807662616,0.008875514424231477
"Columbus, OH",3.7391229730955757,194434.39460096994,52000.0,4.721854730072028,319752.3227753623,67717.52649207079,OH,0.9827317569764524,26.282413390722486,0.19378787626233884,0.9151593311928564,0.0007345535618091885
"Memphis, TN",2.879028877154787,149709.50161204892,52000.0,3.6235522206592403,245377.99349789403,67717.52649207079,TN,0.7445233435044534,25.860224932520715,0.1624608713092991,0.801059120568253,0.0064767572039869745
"Charleston, SC",5.095797602939485,264981.47535285325,52000.0,6.41286163507188,434263.1276629644,67717.52649207079,SC,1.3170640321323948,25.846082100526385,0.28332327502063215,0.8488533976012543,0.003194412318800576
"Raleigh, NC",4.8053333333333335,276036.59161656804,57443.79681254884,6.031287364013425,451181.10257173603,74806.76600882514,NC,1.2259540306800911,25.512361903719988,0.28411893094025914,0.7627229252706798,0.010231243675418352
"Bakersfield, CA",4.194109310655969,218093.68415411038,52000.0,5.258040311503176,356061.4840905925,67717.52649207079,CA,1.0639310008472078,25.36726923506928,0.21953222906501013,0.8587804434386559,0.0026846261898951355
"Salt Lake City, UT",4.992,338339.68786176515,67776.37978000104,6.24155775027197,550895.3460918951,88262.47679401675,UT,1.2495577502719701,25.031204933332734,0.2834409137119381,0.6857659626683863,0.02139790113002973
"Greenville, SC",3.6020284806993277,187305.48099636505,52000.0,4.4892090865714955,303998.13524835015,67717.52649207079,SC,0.8871806058721678,24.63002751438332,0.19057071049632274,0.8736636687442811,0.0020201155992088183
"Worcester, MA",5.365333333333334,280750.08569227176,52326.68098141247,6.685031498858588,455537.7678951926,68142.9501077103,MA,1.3196981655252538,24.596760043338474,0.2565621056665337,0.924659500488447,0.0005438865835950415
"Columbia, SC",2.929041383558624,152310.15194504845,52000.0,3.645211185427343,246844.68501836885,67717.52649207079,SC,0.7161698018687188,24.45065494426753,0.15210749846953353,0.8799735801428014,0.001772800216040768
